180.6          15.376
181.0          15.919
181.9          15.928
181.9          16.106
182.4          16.235
183.2          16.385
184.1          16.817
184.6          16.881
184.1          16.959
185.6          17.062
186.0          17.221
185.7          17.267
188.8          18.356
188.5          18.507
189.5          18.869
190.6          19.386
191.1          19.490
191.4          19.758
193.6          20.212
193.4          20.480
195.6          21.605
196.3          21.654
197.0          21.892
196.4          21.928
199.5          23.030
200.1          23.369
200.6          23.726
202.5          24.697
208.4          27.972
210.2          28.559
210.8          29.211
